# ћетэастанцы€ ћ≥нск, Ѕеларусь, WMO_ID=26850, выбарка з 19.09.2014 па 26.09.2015, Ґсе дн≥
#  адоҐка: ANSI
# ≤нфармацы€ прадастаҐлена сайтам "–эальны прагноз", rp5.by 
#  ал≥ ласка, пры выкарыстанн≥ даных, спасылайцес€ на названы сайт.
# јбазначэнн€ метэапараметраҐ гл€дзець па адрасу http://rp5.by/archive.php?wmo_id=26850&lang=be
#
"ћ€сцовы час Ґ горадзе ћ≥нск";"T";"Po";"P";"Pa";"U";"DD";"Ff";"ff10";"ff3";"N";"WW";"W1";"W2";"Tn";"Tx";"Cl";"Nh";"H";"Cm";"Ch";"VV";"Td";"RRR";"tR";"E";"Tg";"E'";"sss"
"09.03.2015 09:00";"5.3";"747.1";"768.6";"-0.2";"68";"¬ецер з паҐднЄва-паҐднЄва-захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"3.4";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"-0.2";"";"";"";"";"";"";
"09.03.2015 06:00";"5.0";"747.3";"768.7";"-0.4";"70";"¬ецер з захаду";"3";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"0.0";"";"";"";"";"";"";
"09.03.2015 03:00";"3.9";"747.7";"769.2";"0.0";"77";"¬ецер з паҐднЄвага захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"0.2";"";"";"";"";"";"";
"09.03.2015 00:00";"5.1";"747.7";"769.1";"-0.4";"72";"¬ецер з захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"0.4";"";"";"";"";"";"";
"08.03.2015 21:00";"6.1";"748.1";"769.5";"0.0";"72";"¬ецер з паҐднЄвага захаду";"2";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"7.7";"";"";"";"";"";"15.0";"1.3";"—л€ды ападкаҐ";"12";"";"";"";"";
"08.03.2015 18:00";"7.7";"748.1";"769.4";"-0.8";"64";"¬ецер з захаду-паҐднЄва-захаду";"3";"";"10";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"90  або больш, але не 100%";"600-1000";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"1.3";"";"";"";"";"";"";
"08.03.2015 15:00";"7.0";"748.9";"770.2";"-0.2";"71";"¬ецер з захаду-паҐднЄва-захаду";"3";"";"";"100%.";"—муга. ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"9.0";"2.1";"";"";"";"";"";"";
"08.03.2015 12:00";"5.1";"749.1";"770.5";"-0.7";"81";"¬ецер з паҐднЄвага захаду";"3";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"8.0";"2.1";"";"";"";"";"";"";
"08.03.2015 09:00";"3.4";"749.8";"771.5";"-0.4";"93";"¬ецер з паҐднЄвага захаду";"2";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"1.6";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"100-200";"";"";"4.9";"2.4";"";"";"";"";"";"";
"08.03.2015 06:00";"2.1";"750.2";"772.0";"-1.0";"95";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"100-200";"";"";"3.8";"1.3";"";"";"";"";"";"";
"08.03.2015 03:00";"1.8";"751.2";"773.0";"-0.5";"95";"¬ецер з паҐднЄва-паҐднЄва-захаду";"1";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"3.8";"1.0";"";"";"";"";"";"";
"08.03.2015 00:00";"1.6";"751.7";"773.6";"-0.5";"93";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"6.0";"0.5";"";"";"";"";"";"";
"07.03.2015 21:00";"1.6";"752.2";"774.1";"0.2";"91";"¬ецер з паҐднЄвага захаду";"1";"";"";"100%.";"Ћ≥Ґневы(ы€) дождж (дажджы). ";"Ћ≥вень (л≥Ґн≥).";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"2.2";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"7.0";"0.2";"—л€ды ападкаҐ";"12";"";"";"";"";
"07.03.2015 18:00";"1.7";"752.0";"773.9";"-0.5";"87";"¬ецер з паҐднЄвага захаду";"2";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"8.0";"-0.2";"";"";"";"";"";"";
"07.03.2015 15:00";"1.8";"752.5";"774.4";"0.3";"84";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"8.0";"-0.7";"";"";"";"";"";"";
"07.03.2015 12:00";"0.5";"752.2";"774.1";"0.0";"87";"¬ецер з паҐднЄвага захаду";"2";"";"";"70 Ц 80%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"9.0";"-1.4";"";"";"";"";"";"";
"07.03.2015 09:00";"-1.8";"752.2";"774.4";"0.2";"88";"¬ецер з паҐднЄвага захаду";"1";"";"";"90  або больш, але не 100%";" ";"";"";"-2.5";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"90  або больш, але не 100%";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-3.6";"";"";"";"";"";"";
"07.03.2015 06:00";"-1.8";"752.0";"774.1";"-0.5";"86";"¬ецер з захаду-паҐднЄва-захаду";"1";"";"";"40%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-3.9";"";"";"";"";"";"";
"07.03.2015 03:00";"-1.6";"752.5";"774.6";"0.1";"90";"¬ецер з захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-3.0";"";"";"";"";"";"";
"07.03.2015 00:00";"-1.1";"752.4";"774.5";"0.2";"90";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"60%.";"300-600";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-2.6";"";"";"";"";"";"";
"06.03.2015 21:00";"-1.0";"752.2";"774.4";"0.6";"88";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"40%.";" ";"";"";"";"4.8";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"40%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"-2.8";"";"";"";"";"";"";
"06.03.2015 18:00";"2.3";"751.6";"773.4";"0.0";"74";"¬ецер з паҐночна-паҐночна-захаду";"2";"";"";"20Ц30%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"20Ц30%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"20.0";"-2.0";"";"";"";"";"";"";
"06.03.2015 15:00";"3.2";"751.6";"773.2";"0.2";"76";"¬ецер з паҐночна-паҐночна-захаду";"2";"";"";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"40%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерысты€ н≥цепадобны€, часам к≥пцюрападобны€, не распаҐсюджаны€ па небе.";"15.0";"-0.6";"";"";"";"";"";"";
"06.03.2015 12:00";"0.6";"751.4";"773.4";"0.4";"90";"¬ецер з паҐночнага захаду";"2";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"15.0";"-0.8";"";"";"";"";"";"";
"06.03.2015 09:00";"-1.2";"751.0";"773.0";"0.9";"95";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"100%.";" ";"";"";"-1.1";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"10.0";"-1.9";"0.3";"12";"";"";"«л€жалы або мокры снег (з лЄдам або без €го), €к≥ пакрывае не меньш за палову паверхн≥ грунту, але грун не пакрыты поҐнасцю.";"1.0";
"06.03.2015 06:00";"-0.9";"750.1";"772.0";"0.5";"97";"¬ецер з поҐначы";"2";"";"";"70 Ц 80%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"—нег ≥/або друг≥€ цвЄрды€ ападк≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"200-300";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"8.0";"-1.3";"";"";"";"";"";"";
"06.03.2015 03:00";"0.3";"749.6";"771.5";"1.0";"94";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"100%.";"—нег бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"3.8";"-0.5";"";"";"";"";"";"";
"06.03.2015 00:00";"0.0";"748.6";"770.4";"0.9";"96";"¬ецер з паҐночнага захаду";"1";"";"";"70 Ц 80%.";"—муга. ";"—нег ≥/або друг≥€ цвЄрды€ ападк≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"300-600";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"8.0";"-0.6";"";"";"";"";"";"";
"05.03.2015 21:00";"0.1";"747.7";"769.6";"1.2";"94";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"Ћ≥вень (л≥Ґн≥).";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"";"1.6";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"-0.8";"0.4";"12";"";"";"";"";
"05.03.2015 18:00";"1.1";"746.5";"768.2";"1.0";"87";"¬ецер з захаду";"1";"";"";"70 Ц 80%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"1000-1500";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"-0.9";"";"";"";"";"";"";
"05.03.2015 15:00";"0.9";"745.5";"767.2";"0.8";"89";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"90  або больш, але не 100%";"—нег бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"90  або больш, але не 100%";"600-1000";"";"";"10.0";"-0.8";"";"";"";"";"";"";
"05.03.2015 12:00";"1.2";"744.7";"766.3";"0.9";"83";"¬ецер з захаду-паҐночна-захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"300-600";"¬ысокакучавых, высокасла≥стых або сла≥ста-дажджавых воблакаҐ н€ма.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"15.0";"-1.4";"";"";"";"";"";"";
"05.03.2015 09:00";"0.0";"743.8";"765.5";"1.2";"90";"¬ецер з захаду";"1";"";"";"100%.";"—нег нел≥Ґневы. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"-0.1";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"-1.5";"0.3";"12";"";"";"«л€жалы або мокры снег (з лЄдам або без €го), €к≥ пакрывае не меньш за палову паверхн≥ грунту, але грун не пакрыты поҐнасцю.";"меньш за 0.5";
"05.03.2015 06:00";"0.3";"742.6";"764.3";"0.9";"94";"Ўтыль, ветру н€ма";"0";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"6.0";"-0.5";"";"";"";"";"";"";
"05.03.2015 03:00";"0.2";"741.7";"763.3";"0.9";"90";"Ўтыль, ветру н€ма";"0";"";"";"100%.";"—муга. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"8.0";"-1.2";"";"";"";"";"";"";
"05.03.2015 00:00";"0.6";"740.8";"762.4";"0.3";"92";"¬ецер з паҐднЄвага захаду";"1";"";"";"100%.";"—муга. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"7.0";"-0.5";"";"";"";"";"";"";
"04.03.2015 21:00";"0.5";"740.5";"762.1";"0.7";"94";"¬ецер з паҐднЄва-паҐднЄва-захаду";"2";"";"";"100%.";"—нег бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж са снегам або друг≥м≥ цвЄрдым≥ ападкам≥";"ƒождж.";"";"3.9";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"4.2";"-0.3";"4.0";"12";"";"";"";"";
"04.03.2015 18:00";"3.7";"739.8";"761.1";"-0.7";"69";"¬ецер з усхода-паҐднЄва-Ґсходу";"2";"";"";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"≤мжа.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥сты€ туманападобны€ або сла≥сты€ разорваны€, або ты€ й ≥ншы€ разам, €к≥€ не тычацца да воблакаҐ кепскага надвор'€.";"100%.";"200-300";"";"";"2.5";"-1.6";"";"";"";"";"";"";
"04.03.2015 15:00";"3.9";"740.5";"761.8";"-0.6";"69";"¬ецер з поҐдн€";"3";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"-1.3";"";"";"";"";"";"";
"04.03.2015 12:00";"0.7";"741.1";"762.7";"0.2";"87";"¬ецер з поҐдн€";"1";"";"";"70 Ц 80%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"70 Ц 80%.";"600-1000";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"8.0";"-1.3";"";"";"";"";"";"";
"04.03.2015 09:00";"0.4";"740.9";"762.5";"0.4";"87";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"70 Ц 80%.";" ";"";"";"-0.4";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-1.6";"";"";"";"";"";"";
"04.03.2015 06:00";"-0.4";"740.5";"762.1";"0.8";"90";"¬ецер з паҐднЄва-паҐднЄва-захаду";"1";"";"";"70 Ц 80%.";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"70 Ц 80%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"ѕерыстых, перыста-кучавых або перыста-сла≥стых н€ма.";"10.0";"-1.9";"";"";"";"";"";"";
"04.03.2015 03:00";"0.6";"739.7";"761.2";"0.8";"87";"¬ецер з паҐднЄвага захаду";"1";"";"";"Ќ€ма воблакаҐ.";" ";"";"";"";"";"";"";"";"";"";"15.0";"-1.4";"";"";"";"";"";"";
"04.03.2015 00:00";"2.0";"738.9";"760.3";"1.0";"75";"¬ецер з паҐднЄвага захаду";"1";"";"";"90  або больш, але не 100%";" ";"";"";"";"";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"90  або больш, але не 100%";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"";"15.0";"-2.0";"";"";"";"";"";"";
"03.03.2015 21:00";"2.7";"737.9";"759.3";"1.2";"77";"¬ецер з захаду";"2";"";"";"90  або больш, але не 100%";" ";"";"";"";"3.9";"—ла≥ста-кучавых, сла≥стых, кучавых або кучава-дажджавых воблакаҐ н€ма.";"90  або больш, але не 100%";"2500 ц≥ больш, або аблокаҐ н€ма.";"¬ысокасла≥сты€ празрысты€, знаходз€цца на адным ҐзроҐн≥.";"";"15.0";"-0.9";"";"";"";"";"";"";
"03.03.2015 18:00";"3.5";"736.7";"757.9";"1.3";"76";"¬ецер з захаду";"3";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"15.0";"-0.3";"";"";"";"";"";"";
"03.03.2015 15:00";"3.2";"735.4";"756.7";"1.0";"76";"¬ецер з паҐднЄвага захаду";"2";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"15.0";"-0.6";"";"";"";"";"";"";
"03.03.2015 12:00";"2.6";"734.4";"755.7";"0.9";"79";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"100%.";" ";"";"";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"15.0";"-0.7";"";"";"";"";"";"";
"03.03.2015 09:00";"2.2";"733.5";"754.9";"1.3";"87";"¬ецер з захаду-паҐднЄва-захаду";"2";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"2.2";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"300-600";"";"";"15.0";"0.3";"4.0";"12";"";"";"";"";
"03.03.2015 06:00";"2.8";"732.2";"753.4";"1.0";"95";"¬ецер з паҐднЄвага захаду";"1";"";"";"100%.";"—тан неба Ґ вогуле не зм€н≥Ґс€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"2.0";"";"";"";"";"";"";
"03.03.2015 03:00";"4.1";"731.2";"752.2";"0.3";"95";"¬ецер з паҐднЄвага захаду";"2";"";"";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж.";"≤мжа.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"10.0";"3.4";"";"";"";"";"";"";
"03.03.2015 00:00";"3.9";"730.9";"751.9";"-1.1";"97";"¬ецер з поҐдн€";"4";"";"";"100%.";"≤мжа незам€рзальна€ бесперапынна€ слаба€ Ґ час наз≥ранн€. ";"≤мжа.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥сты€ туманападобны€ або сла≥сты€ разорваны€, або ты€ й ≥ншы€ разам, €к≥€ не тычацца да воблакаҐ кепскага надвор'€.";"100%.";"100-200";"";"";"6.0";"3.4";"";"";"";"";"";"";
"02.03.2015 21:00";"3.1";"732.0";"753.1";"0.0";"98";"¬ецер з паҐднЄва-паҐднЄва-Ґсходу";"3";"";"";"100%.";"—муга. ";"ƒождж.";"≤мжа.";"";"3.4";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"200-300";"";"";"3.9";"2.8";"2.0";"12";"";"";"";"";
"02.03.2015 18:00";"2.9";"732.0";"753.1";"-0.4";"97";"¬ецер з паҐднЄва-паҐднЄва-Ґсходу";"3";"";"";"100%.";"≤мжа незам€рзальна€ бесперапынна€ слаба€ Ґ час наз≥ранн€. ";"ƒождж.";"≤мжа.";"";"";"—ла≥сты€ туманападобны€ або сла≥сты€ разорваны€, або ты€ й ≥ншы€ разам, €к≥€ не тычацца да воблакаҐ кепскага надвор'€.";"100%.";"100-200";"";"";"4.2";"2.4";"";"";"";"";"";"";
"02.03.2015 15:00";"3.4";"732.4";"753.5";"-0.3";"95";"¬ецер з поҐдн€";"3";"";"10";"100%.";"ƒождж незам€рзальны бесперапынны слабы Ґ час наз≥ранн€. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥ста-кучавы€, абразаваны€ не ад кучавых.";"100%.";"2500 ц≥ больш, або аблокаҐ н€ма.";"";"";"6.0";"2.7";"";"";"";"";"";"";
"02.03.2015 12:00";"3.0";"732.7";"753.9";"-0.6";"98";"¬ецер з поҐдн€";"3";"";"";"100%.";"—муга. ";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"";"";"—ла≥сты€ туманападобны€ або сла≥сты€ разорваны€, або ты€ й ≥ншы€ разам, €к≥€ не тычацца да воблакаҐ кепскага надвор'€.";"100%.";"100-200";"";"";"3.4";"2.7";"";"";"";"";"";"";
"02.03.2015 09:00";"2.9";"733.3";"754.6";"-0.8";"99";"¬ецер з поҐдн€";"3";"";"";"100%.";"—муга. ";"ƒождж.";"¬облак≥ Ґкрывал≥ больш за палову неба на прац€гу Ґс€го адпаведнага перы€да.";"2.8";"";"—ла≥сты€ туманападобны€ або сла≥сты€ разорваны€, або ты€ й ≥ншы€ разам, €к≥€ не тычацца да воблакаҐ кепскага надвор'€.";"100%.";"100-200";"";"";"1.4";"2.7";"1.0";"12";"";"";"";"";
